#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2013,12,31,23,50,225,3.7,4.3,0.86,14.81,7.12,252,1018.8,14.8,15.8,12,99,99
2014,1,1,0,50,235,4.8,5.5,0.88,17.39,7,276,1018.6,14.5,15.8,12,99,99
2014,1,1,1,50,250,4.2,5.1,1,14.81,6.91,251,1018.7,14.7,15.7,11.9,99,99
2014,1,1,2,50,263,3.8,4.7,1,16,6.02,277,1019,14.4,15.6,12.1,99,99
2014,1,1,3,50,286,3.6,4.2,0.92,16,5.98,280,1019.1,14.8,15.6,11.8,99,99
2014,1,1,4,50,315,2.6,3.1,0.79,16,5.77,40,1019.3,14.8,15.6,10.9,99,99
2014,1,1,5,50,308,1.7,2.1,0.86,16,6.91,295,1019.4,14.5,15.6,11.7,99,99
2014,1,1,6,50,310,0.7,1.2,0.84,16,6.26,277,1019.4,14.3,15.5,11.7,99,99
2014,1,1,7,50,317,1.4,1.9,0.86,16,6.48,280,1019.4,14.3,15.5,11.8,99,99
2014,1,1,8,50,339,2.5,3,0.88,13.79,5.87,232,1019.2,14.3,15.5,12.1,99,99
2014,1,1,9,50,25,4.6,5.4,0.92,12.9,6.44,81,1019,14.2,15.5,12,99,99
2014,1,1,10,50,33,3.4,4.1,0.91,14.81,6.63,265,1019,14.1,15.5,11.6,99,99
2014,1,1,11,50,57,3.3,4,0.93,13.79,6.55,281,1018.9,13.9,15.5,11.7,99,99
2014,1,1,12,50,58,3.8,4.4,1.03,14.81,6.3,244,1018.5,13.9,15.5,11.6,99,99
2014,1,1,13,50,66,2.1,3,1.08,14.81,6.76,236,1018.7,13.7,15.5,11.4,99,99
2014,1,1,14,50,72,1.7,2.9,1.07,14.81,6.61,319,1018.8,13.8,15.4,11.5,99,99
2014,1,1,15,50,71,3.1,4.3,1.08,13.79,6.84,254,1019.2,12.9,15.4,11.1,99,99
2014,1,1,16,50,78,0.3,0.9,1.16,14.81,7.41,272,1019.9,13.2,15.5,11.6,99,99
2014,1,1,17,50,7,2.2,3.1,1,14.81,6.79,274,1020.2,12.7,15.5,11.2,99,99
2014,1,1,18,50,51,1.6,2,0.98,14.81,7.14,261,1020,13,15.6,11.3,99,99
2014,1,1,19,50,358,1.5,2.1,0.93,14.81,6.93,265,1019.1,13.5,15.7,11.3,99,99
2014,1,1,20,50,304,1.3,1.8,0.84,16,6.73,262,1018.4,13.8,16,11.7,99,99
2014,1,1,21,50,315,1.8,2.6,1.03,14.81,8,265,1017.8,14.2,16.1,11.8,99,99
2014,1,1,22,50,276,1.2,1.7,0.93,12.9,7.34,265,1017.7,15,16.1,11.6,99,99
2014,1,1,23,50,328,1.3,1.7,0.99,14.81,7.83,259,1017.5,14.9,16.1,11.7,99,99
2014,1,2,0,50,291,2.3,3.1,0.88,14.81,7.07,275,1017.5,14.9,16,12.1,99,99
2014,1,2,1,50,273,3.2,3.8,0.88,13.79,7.13,287,1017.8,14.6,15.8,11.6,99,99
2014,1,2,2,50,302,3.3,3.8,0.92,14.81,6.47,271,1017.8,14.8,15.7,12.6,99,99
2014,1,2,3,50,320,3.4,3.9,1.04,14.81,6.9,228,1017.9,14.9,15.6,12.6,99,99
2014,1,2,4,50,328,4.2,5.2,0.88,14.81,6.22,245,1018.1,14.9,15.5,12.5,99,99
2014,1,2,5,50,339,3.8,4.6,0.96,13.79,6.53,281,1018.2,15.2,15.5,12.4,99,99
2014,1,2,6,50,336,3.1,3.6,0.96,13.79,7.09,251,1018.3,15.2,15.5,13,99,99
2014,1,2,7,50,336,3.4,3.9,0.96,13.79,7,245,1018.4,15.2,15.5,13.4,99,99
