"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2011,"SAA","DO","Egg1",55,36.1,1985.5
2011,"KWB","CC","Egg1",52,34,1768
2011,"KWB","CC","Egg1",53.8,32.8,1764.64
2011,"AAY","CC","Egg1",57.2,36,2059.2
2011,"AAY","CC","Egg1",53.9,34.5,1859.55
2011,"AAY","CC","Egg1",54.5,31,1689.5
2011,"SAA","DO","Egg1",54.1,36.5,1974.65
2011,"SAA","DO","Egg1",52.1,34,1771.4
2011,"SAA","BH","Egg1",55.5,36.2,2009.1
2011,"SAA","BH","Egg1",52,34.8,1809.6
2011,"SAA","DO","Egg1",51.5,36,1854
2011,"KWB","CC","Egg1",52,34.5,1794
2011,"SAA","APNC","Egg1",53.8,36.6,1969.08
2011,"SAA","APNC","Egg1",53.7,34.5,1852.65
2011,"KWB","CC","Egg1",53.2,35.3,1877.96
2011,"KWB","CC","Egg1",56,37,2072
2011,"CEK","APNC","Egg1",53,34.5,1828.5
2011,"CEK","APNC","Egg1",56.4,35,1974
2011,"CEK","APNC","Egg1",55.6,37,2057.2
2011,"KWB","CC","Egg1",54,36.4,1965.6
2011,"KWB","CC","Egg1",51.7,35.3,1825.01
2011,"KWB","CC","Egg1",54,35,1890
2011,"CEK","APNC","Egg1",53.25,36.65,1951.6125
2011,"KWB","CC","Egg1",57.55,36.95,2126.4725
2011,"KWB","CC","Egg1",54,37.2,2008.8
2011,"SKT","LC","Egg1",55.75,36.4,2029.3
2011,"SKT","LC","Egg1",54.15,31.4,1700.31
2011,"SKT","LC","Egg1",55.55,34.15,1897.0325
2011,"SKT","LC","Egg1",53.9,35.85,1932.315
2011,"SKT","APNC","Egg1",53.85,35.5,1911.675
2011,"CEK","APNC","Egg1",54,36,1944
2011,"KWB","CC","Egg1",53.7,35.5,1906.35
2011,"SKT","CC","Egg1",54.45,36.3,1976.535
2011,"KWB","LC","Egg1",54.5,36.1,1967.45
2011,"KWB","CC","Egg1",52.1,36.4,1896.44
2011,"SAA","CC","Egg1",52.3,33.7,1762.51
2011,"SAA","CC","Egg1",54.7,36.9,2018.43
2011,"SAA","DO","Egg1",54,33.9,1830.6
2011,"SAA","BH","Egg1",55.4,36.9,2044.26
2011,"CEK","DO","Egg1",52.8,35.2,1858.56
2011,"SKT","APNC","Egg1",52.6,34.75,1827.85
2011,"CEK","DO","Egg1",51.5,31.8,1637.7
2011,"SKT","APNC","Egg1",53.05,36.45,1933.6725
2011,"SKT","APNC","Egg1",52.6,34.75,1827.85
2011,"SKT","APNC","Egg1",53,37,1961
2011,"SKT","CC","Egg1",49.8,35,1743
2011,"KWB","BH","Egg1",51.8,35.3,1828.54
2011,"SAA","CC","Egg1",52.7,36.45,1920.915
2011,"SAA","CC","Egg1",55.45,35.75,1982.3375
2011,"KWB","CC","Egg1",50.1,35.1,1758.51
2011,"KWB","CC","Egg1",55.35,35.85,1984.2975
2011,"KWB","CC","Egg1",57.5,37,2127.5
2011,"LAH","DO","Egg1",52.8,31,1636.8
2011,"LAH","CC","Egg1",57.3,36.8,2108.64
2011,"KWB","CC","Egg1",54.5,35.2,1918.4
2011,"SAA","APNC","Egg1",51,31.15,1588.65
2011,"KWB","DO","Egg1",52,35.5,1846
2011,"AAY","BH","Egg1",55.95,36.45,2039.3775
2011,"KWB","APNC","Egg1",53,38.75,2053.75
